"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"37","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","20","publicMethodCommentRequirement Required","Comments","CommentRequired"
"38","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","23","publicMethodCommentRequirement Required","Comments","CommentRequired"
"39","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","24","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"40","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","28","publicMethodCommentRequirement Required","Comments","CommentRequired"
"41","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","32","publicMethodCommentRequirement Required","Comments","CommentRequired"
"42","br.ufc.mbean","src/br/ufc/mbean/CadastrarAlunoBean.java","3","36","publicMethodCommentRequirement Required","Comments","CommentRequired"
"43","br.ufc.model","src/br/ufc/model/Aluno.java","3","15","Classes implementing Serializable should set a serialVersionUID","JavaBeans","MissingSerialVersionUID"
"44","br.ufc.model","src/br/ufc/model/Aluno.java","3","15","headerCommentRequirement Required","Comments","CommentRequired"
"45","br.ufc.model","src/br/ufc/model/Aluno.java","3","19","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"46","br.ufc.model","src/br/ufc/model/Aluno.java","3","19","fieldCommentRequirement Required","Comments","CommentRequired"
"47","br.ufc.model","src/br/ufc/model/Aluno.java","3","20","fieldCommentRequirement Required","Comments","CommentRequired"
"48","br.ufc.model","src/br/ufc/model/Aluno.java","3","21","fieldCommentRequirement Required","Comments","CommentRequired"
"49","br.ufc.model","src/br/ufc/model/Aluno.java","3","22","fieldCommentRequirement Required","Comments","CommentRequired"
"50","br.ufc.model","src/br/ufc/model/Aluno.java","3","24","fieldCommentRequirement Required","Comments","CommentRequired"
"51","br.ufc.model","src/br/ufc/model/Aluno.java","3","26","Parameter 'cpf' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"52","br.ufc.model","src/br/ufc/model/Aluno.java","3","26","Parameter 'nascimento' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"53","br.ufc.model","src/br/ufc/model/Aluno.java","3","26","Parameter 'nome' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"54","br.ufc.model","src/br/ufc/model/Aluno.java","3","26","Parameter 'sexo' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"55","br.ufc.model","src/br/ufc/model/Aluno.java","3","26","publicMethodCommentRequirement Required","Comments","CommentRequired"
"56","br.ufc.model","src/br/ufc/model/Aluno.java","3","33","Document empty constructor","Design","UncommentedEmptyConstructor"
"57","br.ufc.model","src/br/ufc/model/Aluno.java","3","33","publicMethodCommentRequirement Required","Comments","CommentRequired"
"58","br.ufc.model","src/br/ufc/model/Aluno.java","3","36","publicMethodCommentRequirement Required","Comments","CommentRequired"
"59","br.ufc.model","src/br/ufc/model/Aluno.java","3","40","Parameter 'nome' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"60","br.ufc.model","src/br/ufc/model/Aluno.java","3","40","publicMethodCommentRequirement Required","Comments","CommentRequired"
"61","br.ufc.model","src/br/ufc/model/Aluno.java","3","44","publicMethodCommentRequirement Required","Comments","CommentRequired"
"62","br.ufc.model","src/br/ufc/model/Aluno.java","3","48","publicMethodCommentRequirement Required","Comments","CommentRequired"
"63","br.ufc.model","src/br/ufc/model/Aluno.java","3","52","Parameter 'sexo' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"64","br.ufc.model","src/br/ufc/model/Aluno.java","3","52","publicMethodCommentRequirement Required","Comments","CommentRequired"
"65","br.ufc.model","src/br/ufc/model/Aluno.java","3","56","publicMethodCommentRequirement Required","Comments","CommentRequired"
"66","br.ufc.model","src/br/ufc/model/Aluno.java","3","60","Parameter 'cpf' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"67","br.ufc.model","src/br/ufc/model/Aluno.java","3","60","publicMethodCommentRequirement Required","Comments","CommentRequired"
"68","br.ufc.model","src/br/ufc/model/Aluno.java","3","64","publicMethodCommentRequirement Required","Comments","CommentRequired"
"69","br.ufc.model","src/br/ufc/model/Aluno.java","3","68","Parameter 'nascimento' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"70","br.ufc.model","src/br/ufc/model/Aluno.java","3","68","publicMethodCommentRequirement Required","Comments","CommentRequired"
"71","br.ufc.model","src/br/ufc/model/Aluno.java","3","73","publicMethodCommentRequirement Required","Comments","CommentRequired"
"72","br.ufc.model","src/br/ufc/model/Aluno.java","3","75","Avoid variables with short names like sd","Naming","ShortVariable"
"73","br.ufc.model","src/br/ufc/model/Aluno.java","3","75","Local variable 'sd' could be declared final","Optimization","LocalVariableCouldBeFinal"
"74","br.ufc.model","src/br/ufc/model/Aluno.java","3","75","When instantiating a SimpleDateFormat object, specify a Locale","Design","SimpleDateFormatNeedsLocale"
"75","br.ufc.model","src/br/ufc/model/Aluno.java","5","77","Found 'DD'-anomaly for variable 'result' (lines '77'-'78').","Controversial","DataflowAnomalyAnalysis"
"76","br.ufc.model","src/br/ufc/model/Aluno.java","3","78","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"77","br.ufc.model","src/br/ufc/model/Aluno.java","3","78","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"78","br.ufc.model","src/br/ufc/model/Aluno.java","3","78","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"79","br.ufc.model","src/br/ufc/model/Aluno.java","3","78","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"80","br.ufc.model","src/br/ufc/model/Aluno.java","3","78","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"81","br.ufc.model","src/br/ufc/model/Aluno.java","3","78","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"82","br.ufc.model","src/br/ufc/model/Aluno.java","3","78","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"83","br.ufc.model","src/br/ufc/model/Aluno.java","3","84","publicMethodCommentRequirement Required","Comments","CommentRequired"
"84","br.ufc.model","src/br/ufc/model/Aluno.java","3","85","Avoid using final local variables, turn them into fields","Controversial","AvoidFinalLocalVariable"
"85","br.ufc.model","src/br/ufc/model/Aluno.java","5","86","Found 'DD'-anomaly for variable 'result' (lines '86'-'87').","Controversial","DataflowAnomalyAnalysis"
"86","br.ufc.model","src/br/ufc/model/Aluno.java","3","92","Parameter 'obj' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"87","br.ufc.model","src/br/ufc/model/Aluno.java","3","92","publicMethodCommentRequirement Required","Comments","CommentRequired"
"88","br.ufc.model","src/br/ufc/model/Aluno.java","5","93","Found 'DD'-anomaly for variable 'isEquals' (lines '93'-'102').","Controversial","DataflowAnomalyAnalysis"
"89","br.ufc.model","src/br/ufc/model/Aluno.java","5","93","Found 'DD'-anomaly for variable 'isEquals' (lines '93'-'106').","Controversial","DataflowAnomalyAnalysis"
"90","br.ufc.model","src/br/ufc/model/Aluno.java","5","93","Found 'DD'-anomaly for variable 'isEquals' (lines '93'-'96').","Controversial","DataflowAnomalyAnalysis"
"91","br.ufc.model","src/br/ufc/model/Aluno.java","5","93","Found 'DD'-anomaly for variable 'isEquals' (lines '93'-'99').","Controversial","DataflowAnomalyAnalysis"
"92","br.ufc.model","src/br/ufc/model/Aluno.java","5","96","Found 'DD'-anomaly for variable 'isEquals' (lines '96'-'102').","Controversial","DataflowAnomalyAnalysis"
"93","br.ufc.model","src/br/ufc/model/Aluno.java","5","96","Found 'DD'-anomaly for variable 'isEquals' (lines '96'-'106').","Controversial","DataflowAnomalyAnalysis"
"94","br.ufc.model","src/br/ufc/model/Aluno.java","5","96","Found 'DD'-anomaly for variable 'isEquals' (lines '96'-'99').","Controversial","DataflowAnomalyAnalysis"
"95","br.ufc.model","src/br/ufc/model/Aluno.java","5","99","Found 'DD'-anomaly for variable 'isEquals' (lines '99'-'102').","Controversial","DataflowAnomalyAnalysis"
"96","br.ufc.model","src/br/ufc/model/Aluno.java","5","99","Found 'DD'-anomaly for variable 'isEquals' (lines '99'-'106').","Controversial","DataflowAnomalyAnalysis"
"97","br.ufc.model","src/br/ufc/model/Aluno.java","5","102","Found 'DD'-anomaly for variable 'isEquals' (lines '102'-'106').","Controversial","DataflowAnomalyAnalysis"
"98","br.ufc.model","src/br/ufc/model/Aluno.java","3","104","Local variable 'other' could be declared final","Optimization","LocalVariableCouldBeFinal"
"99","br.ufc.model","src/br/ufc/model/Sexo.java","3","3","enumCommentRequirement Required","Comments","CommentRequired"
"100","br.ufc.model","src/br/ufc/model/Sexo.java","1","6","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), '_asString' is not final.","Naming","VariableNamingConventions"
"101","br.ufc.model","src/br/ufc/model/Sexo.java","3","6","fieldCommentRequirement Required","Comments","CommentRequired"
"102","br.ufc.model","src/br/ufc/model/Sexo.java","3","8","Parameter 'asString' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"103","br.ufc.model","src/br/ufc/model/Sexo.java","3","12","publicMethodCommentRequirement Required","Comments","CommentRequired"
"104","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","7","headerCommentRequirement Required","Comments","CommentRequired"
"105","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","9","Avoid modifiers which are implied by the context","Unused Code","UnusedModifier"
"106","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","9","publicMethodCommentRequirement Required","Comments","CommentRequired"
"107","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","11","Avoid modifiers which are implied by the context","Unused Code","UnusedModifier"
"108","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","11","publicMethodCommentRequirement Required","Comments","CommentRequired"
"109","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","13","Avoid modifiers which are implied by the context","Unused Code","UnusedModifier"
"110","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","13","publicMethodCommentRequirement Required","Comments","CommentRequired"
"111","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","15","Avoid modifiers which are implied by the context","Unused Code","UnusedModifier"
"112","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","15","publicMethodCommentRequirement Required","Comments","CommentRequired"
"113","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","17","Avoid modifiers which are implied by the context","Unused Code","UnusedModifier"
"114","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","17","publicMethodCommentRequirement Required","Comments","CommentRequired"
"115","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","19","Avoid modifiers which are implied by the context","Unused Code","UnusedModifier"
"116","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAO.java","3","19","publicMethodCommentRequirement Required","Comments","CommentRequired"
"117","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","12","headerCommentRequirement Required","Comments","CommentRequired"
"118","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","1","14","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'PRODUCTION_PU' is not final.","Naming","VariableNamingConventions"
"119","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","14","The field name indicates a constant but its modifiers do not","Naming","SuspiciousConstantFieldName"
"120","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","1","14","Variables should start with a lowercase character, 'PRODUCTION_PU' starts with uppercase character.","Naming","VariableNamingConventions"
"121","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","14","fieldCommentRequirement Required","Comments","CommentRequired"
"122","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","1","15","Only variables that are final should contain underscores (except for underscores in standard prefix/suffix), 'TEST_PU' is not final.","Naming","VariableNamingConventions"
"123","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","15","The field name indicates a constant but its modifiers do not","Naming","SuspiciousConstantFieldName"
"124","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","1","15","Variables should start with a lowercase character, 'TEST_PU' starts with uppercase character.","Naming","VariableNamingConventions"
"125","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","15","fieldCommentRequirement Required","Comments","CommentRequired"
"126","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","17","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"127","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","17","fieldCommentRequirement Required","Comments","CommentRequired"
"128","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","18","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"129","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","18","fieldCommentRequirement Required","Comments","CommentRequired"
"130","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","20","publicMethodCommentRequirement Required","Comments","CommentRequired"
"131","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","24","Parameter 'persistenceUnit' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"132","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","24","publicMethodCommentRequirement Required","Comments","CommentRequired"
"133","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","1","26","Overridable method 'getEntityManager' called during object construction","Design","ConstructorCallsOverridableMethod"
"134","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","29","publicMethodCommentRequirement Required","Comments","CommentRequired"
"135","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","31","Local variable 'factory' could be declared final","Optimization","LocalVariableCouldBeFinal"
"136","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","32","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"137","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","38","Parameter 'aluno' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"138","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","38","publicMethodCommentRequirement Required","Comments","CommentRequired"
"139","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","40","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"140","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","42","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"141","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","44","A method should have only one exit point, and that should be the last statement in the method","Controversial","OnlyOneReturn"
"142","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","45","A catch statement that catches an exception only to rethrow it should be avoided.","Strict Exceptions","AvoidRethrowingException"
"143","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","47","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"144","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","48","Avoid printStackTrace(); use a logger call instead.","Java Logging","AvoidPrintStackTrace"
"145","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","49","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"146","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","57","Parameter 'matricula' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"147","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","57","publicMethodCommentRequirement Required","Comments","CommentRequired"
"148","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","63","publicMethodCommentRequirement Required","Comments","CommentRequired"
"149","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","64","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"150","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","64","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"151","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","64","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"152","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","68","Parameter 'aluno' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"153","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","68","publicMethodCommentRequirement Required","Comments","CommentRequired"
"154","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","70","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"155","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","72","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"156","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","73","A catch statement that catches an exception only to rethrow it should be avoided.","Strict Exceptions","AvoidRethrowingException"
"157","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","75","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"158","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","76","Avoid printStackTrace(); use a logger call instead.","Java Logging","AvoidPrintStackTrace"
"159","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","77","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"160","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","2","83","Avoid reassigning parameters such as 'aluno'","Basic Velocity","AvoidReassigningParameters"
"161","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","83","publicMethodCommentRequirement Required","Comments","CommentRequired"
"162","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","85","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"163","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","88","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"164","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","90","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"165","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","91","Avoid printStackTrace(); use a logger call instead.","Java Logging","AvoidPrintStackTrace"
"166","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","91","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
"167","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","92","Potential violation of Law of Demeter (method chain calls)","Coupling","LawOfDemeter"
"168","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","97","Parameter 'matricula' is not assigned and could be declared final","Optimization","MethodArgumentCouldBeFinal"
"169","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","97","publicMethodCommentRequirement Required","Comments","CommentRequired"
"170","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","99","Local variable 'aluno' could be declared final","Optimization","LocalVariableCouldBeFinal"
"171","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","101","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Strict Exceptions","AvoidCatchingGenericException"
"172","br.ufc.model.dao","src/br/ufc/model/dao/AlunoDAOImpl.java","3","102","Avoid printStackTrace(); use a logger call instead.","Java Logging","AvoidPrintStackTrace"
"173","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","13","Each class should declare at least one constructor","Controversial","AtLeastOneConstructor"
"174","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","13","headerCommentRequirement Required","Comments","CommentRequired"
"175","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","15","Found non-transient, non-static member. Please mark as transient or provide accessors.","JavaBeans","BeanMembersShouldSerialize"
"176","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","15","Private field 'alunoService' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"177","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","15","fieldCommentRequirement Required","Comments","CommentRequired"
"178","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","18","publicMethodCommentRequirement Required","Comments","CommentRequired"
"179","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","20","Local variable 'nome' could be declared final","Optimization","LocalVariableCouldBeFinal"
"180","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","21","Local variable 'sexo' could be declared final","Optimization","LocalVariableCouldBeFinal"
"181","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","22","Local variable 'cpf' could be declared final","Optimization","LocalVariableCouldBeFinal"
"182","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","23","Local variable 'data' could be declared final","Optimization","LocalVariableCouldBeFinal"
"183","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","23","This statement may have some unnecessary parentheses","Unnecessary","UnnecessaryParentheses"
"184","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","23","Useless parentheses.","Unnecessary","UselessParentheses"
"185","br.ufc.model","test/br/ufc/model/AlunoTeste.java","4","23","Useless parentheses.","Unnecessary","UselessParentheses"
"186","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","26","Local variable 'matricula' could be declared final","Optimization","LocalVariableCouldBeFinal"
"187","br.ufc.model","test/br/ufc/model/AlunoTeste.java","3","30","Potential violation of Law of Demeter (object not created locally)","Coupling","LawOfDemeter"
